帧号,学生ID,行为
41,unknown,raised hand
41,stu_003,raised hand
42,unknown,normal posture
42,unknown,raised hand
42,unknown,raised hand
42,unknown,raised hand
42,stu_003,raised hand
43,unknown,normal posture
43,unknown,raised hand
43,stu_004,raised hand
43,stu_006,raised hand
43,stu_003,raised hand
43,stu_005,raised hand
44,unknown,normal posture
44,unknown,raised hand
44,stu_004,raised hand
44,stu_006,raised hand
44,stu_005,raised hand
44,stu_006,raised hand
45,unknown,normal posture
45,unknown,raised hand
45,stu_004,raised hand
45,stu_006,raised hand
45,stu_005,raised hand
45,stu_003,raised hand
46,stu_004,normal posture
46,unknown,raised hand
46,stu_004,raised hand
46,stu_003,raised hand
46,stu_006,raised hand
47,stu_004,normal posture
47,unknown,raised hand
47,stu_004,raised hand
47,stu_003,raised hand
47,stu_006,raised hand
48,unknown,normal posture
48,unknown,raised hand
48,unknown,raised hand
48,stu_003,raised hand
48,stu_006,raised hand
48,stu_006,raised hand
49,unknown,normal posture
49,unknown,raised hand
49,unknown,raised hand
49,stu_003,raised hand
49,stu_006,raised hand
49,stu_006,raised hand
50,stu_004,normal posture
50,unknown,raised hand
50,unknown,raised hand
50,stu_003,raised hand
50,stu_006,raised hand
51,unknown,normal posture
51,unknown,raised hand
51,unknown,raised hand
51,stu_003,raised hand
51,stu_006,raised hand
52,unknown,normal posture
52,unknown,raised hand
52,unknown,raised hand
52,stu_003,raised hand
52,stu_006,raised hand
53,stu_004,normal posture
53,unknown,raised hand
53,unknown,raised hand
53,stu_003,raised hand
53,stu_006,raised hand
54,stu_004,normal posture
54,stu_004,raised hand
54,unknown,raised hand
54,stu_003,raised hand
54,unknown,raised hand
55,unknown,normal posture
55,stu_004,raised hand
55,stu_003,raised hand
55,unknown,raised hand
55,stu_006,raised hand
56,stu_004,normal posture
56,stu_004,raised hand
56,stu_003,raised hand
56,stu_006,raised hand
56,unknown,raised hand
57,unknown,normal posture
57,stu_004,raised hand
57,stu_003,raised hand
57,stu_006,raised hand
57,unknown,raised hand
58,stu_004,normal posture
58,unknown,raised hand
58,stu_004,normal posture
58,stu_003,raised hand
58,stu_004,raised hand
58,stu_006,raised hand
59,stu_004,normal posture
59,stu_004,normal posture
59,stu_003,raised hand
59,unknown,raised hand
59,stu_004,raised hand
59,stu_006,raised hand
60,stu_004,normal posture
60,stu_004,raised hand
60,stu_003,raised hand
60,stu_004,raised hand
60,unknown,raised hand
60,stu_006,raised hand
61,stu_004,normal posture
61,stu_004,raised hand
61,stu_003,raised hand
61,stu_006,raised hand
61,unknown,raised hand
62,unknown,normal posture
62,stu_004,raised hand
62,stu_003,raised hand
62,unknown,raised hand
62,stu_006,raised hand
63,unknown,normal posture
63,stu_004,raised hand
63,unknown,raised hand
63,stu_003,raised hand
63,stu_006,raised hand
64,unknown,normal posture
64,unknown,raised hand
64,stu_003,raised hand
64,stu_006,raised hand
