epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3364.47,1.16803,3.18246,1.26625,0.51271,0.47567,0.47874,0.32308,1.10138,4.53549,1.242,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3468.39,1.16476,3.14721,1.26032,0.52711,0.42713,0.46958,0.31675,1.10672,4.7859,1.24792,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3569.77,1.16499,3.14224,1.263,0.55022,0.45965,0.49035,0.32855,1.10578,4.70105,1.24053,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3672.88,1.15693,3.11873,1.25823,0.5667,0.45027,0.47999,0.32518,1.09799,4.76948,1.23429,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3775.74,1.1594,3.11024,1.25404,0.52263,0.47308,0.48231,0.32791,1.0968,4.63038,1.23594,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3879.55,1.15954,3.11857,1.25697,0.54973,0.4629,0.49411,0.33321,1.09488,4.69198,1.22845,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3978.74,1.14867,3.08656,1.24854,0.54266,0.44627,0.48238,0.3328,1.0851,4.80562,1.22278,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4083.21,1.1427,3.0584,1.24617,0.55501,0.44271,0.48834,0.33564,1.07609,4.85436,1.21719,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4187.69,1.14613,3.0549,1.2482,0.53678,0.49084,0.50552,0.34559,1.07784,4.5844,1.21695,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4292.41,1.13416,3.02671,1.24065,0.56398,0.45345,0.49656,0.33887,1.07785,4.68395,1.2203,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4396.51,1.13811,3.03196,1.24327,0.52185,0.47309,0.48986,0.34018,1.07543,4.75422,1.21705,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4500.93,1.13731,3.01558,1.23974,0.58848,0.43669,0.48955,0.34159,1.07887,4.80967,1.21678,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4606.33,1.12626,2.97452,1.23119,0.54663,0.46536,0.50068,0.34072,1.07242,4.78079,1.2102,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4711.08,1.12824,2.98342,1.23233,0.55888,0.46887,0.49965,0.34405,1.06314,4.72017,1.20901,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4815.24,1.12914,2.95666,1.22877,0.54825,0.4609,0.49077,0.34211,1.06716,4.68257,1.20611,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4921.46,1.12017,2.94879,1.22648,0.57188,0.46281,0.5009,0.34846,1.0676,4.74879,1.20914,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5025.21,1.12367,2.96098,1.23417,0.54119,0.46307,0.49553,0.34426,1.06371,4.7505,1.20596,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5127.44,1.11974,2.93238,1.22384,0.52891,0.45563,0.48845,0.34124,1.0685,4.85592,1.2091,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5232.43,1.12009,2.94378,1.22574,0.52314,0.47101,0.49969,0.34414,1.06975,4.79447,1.20999,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5332.76,1.11528,2.89719,1.2203,0.53713,0.47441,0.4983,0.34656,1.06551,4.75698,1.20238,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5432.36,1.10991,2.87495,1.21344,0.54565,0.47797,0.50862,0.35461,1.05903,4.74373,1.19602,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5537.4,1.10906,2.88807,1.21389,0.57457,0.4589,0.50872,0.35506,1.06441,4.69805,1.20223,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5641.37,1.11638,2.88644,1.22074,0.61068,0.45263,0.50808,0.35352,1.06305,4.79909,1.20351,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5743.78,1.09613,2.85392,1.20846,0.56904,0.44527,0.50008,0.35016,1.05837,4.85818,1.19834,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5848.12,1.09697,2.82418,1.20644,0.58603,0.46466,0.52068,0.36215,1.05375,4.76327,1.19487,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5948.55,1.09804,2.82867,1.20505,0.5582,0.47023,0.52045,0.36031,1.06086,4.86965,1.19735,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6051.92,1.10009,2.84496,1.20822,0.57184,0.47123,0.51962,0.36197,1.05095,4.79556,1.18967,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6156.41,1.089,2.80746,1.20465,0.57956,0.4666,0.51576,0.36039,1.05389,4.83804,1.19052,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6261.06,1.09435,2.82403,1.20461,0.56637,0.48043,0.51205,0.35644,1.05062,4.80158,1.18961,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6361.48,1.08905,2.78947,1.19993,0.55394,0.47567,0.50815,0.35464,1.05068,4.93595,1.19014,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6461.96,1.08782,2.77743,1.20064,0.55874,0.47543,0.50702,0.35459,1.05263,5.01832,1.1934,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6563.65,1.08471,2.77183,1.19858,0.58599,0.45967,0.51026,0.35638,1.0455,4.91273,1.18652,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6666.49,1.08762,2.79895,1.20068,0.5565,0.48364,0.5165,0.36163,1.04623,4.86713,1.18769,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6770.03,1.07961,2.75108,1.19351,0.58676,0.45995,0.50646,0.35519,1.04174,4.915,1.18244,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6871.11,1.0833,2.77703,1.1974,0.54991,0.48258,0.5107,0.35888,1.04118,4.84596,1.18143,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
